sr_number,sr_type,sr_short_code,owner_department,status,origin,created_date,last_modified_date,closed_date,street_address,city,state,zip_code,street_number,street_direction,street_name,street_type,duplicate,legacy_record,legacy_sr_number,parent_sr_number,community_area,ward,electrical_district,electricity_grid,police_sector,police_district,police_beat,precinct,sanitation_division_days,x_coordinate,y_coordinate,latitude.x,longitude.x,location,bldg_id,latitude.y,longitude.y,complaint_violation,bldg_sq_fo,shape_area,stories,year_built,bldg_condi,graffiti_address,one_light_address,pot_holes_address,all_lights_address,tree_trims_address,tree_debris_address,alley_lights_address,garbage_carts_address,sanitation_code_address,rodent_baiting_address,abandoned_vehicles_address,abandoned_buildings_address,graffiti_community,one_light_community,pot_holes_community,all_lights_community,tree_trims_community,tree_debris_community,alley_lights_community,garbage_carts_community,sanitation_code_community,rodent_baiting_community,abandoned_vehicles_community,abandoned_buildings_community,hardship_index,complaint_violations,permit_violations,periodic_violations,registration_violations,logistic_probs,logistic_preds,lda_probs,lda_preds,gbm_probs,gbm_preds,log_rank,lda_rank,gbm_rank
sr19-00041124,building violation,bba,,completed,phone call,2019-01-09,01/09/2019 08:53:42 pm,01/09/2019 08:53:40 pm,5148 n keeler ave,NA,NA,60630,5148,n,keeler,ave,FALSE,FALSE,NA,,14,39,1,f010,1,17,1712,5,thursday,1147438.018,1934089.756,41.97511284,-87.7332049,"(41.975112839645085, -87.7332048969027)",80583,41.97510497,-87.73319911,0,-0.443413089,-0.283029686,-0.51537522,-14.18050097,sound,0.693147181,0,1.098612289,0,0,0,0,0,0,0,0.693147181,0,3.193786527,0.391571824,0.960319902,0.19870809,0.545216856,0.138572747,0.246385727,0.534143341,0.266379576,0.743002153,0.464318671,0.021839434,4.109572851,0,0,0,0,0.014197574,0,0.005449228,0,0.012536654,0,0.371983175,0.206177494,0.258773433
sr19-00040353,building violation,bba,,completed,phone call,2019-01-09,01/09/2019 09:36:45 pm,01/09/2019 09:36:44 pm,1627 n oakley ave,NA,NA,60647,1627,n,oakley,ave,FALSE,FALSE,NA,,24,32,5,k018,3,14,1434,2,thursday,1160845.794,1910885.367,41.91117028,-87.68454573,"(41.911170280869996, -87.68454573354452)",303747,41.91116553,-87.68466075,0,0.203214076,-0.153009122,0.48462478,-23.18050097,sound,0,0,0,0,0,0,0,0,0,0,0,0,4.069444444,0.684064327,0.947880117,0.320833333,0.534868421,0.105409357,0.236695906,0.598903509,0.327923977,0.799122807,0.372076023,0.027266082,-38.89042715,0,0,0,0,0.012160686,0,0.005749554,0,0.013954297,0,0.254218206,0.252234512,0.367460144
sr19-00044112,building violation,bba,,completed,phone call,2019-01-10,01/16/2019 05:08:17 pm,01/16/2019 05:08:15 pm,810 e hyde park blvd,NA,NA,60615,810,e,hyde park,blvd,FALSE,FALSE,NA,,39,4,9,s033,2,2,223,33,tuesday,1182603.206,1871520.968,41.80267276,-87.60584253,"(41.80267275896028, -87.60584253161576)",457225,41.80237347,-87.60588761,0,0.496579059,1.539527155,9.48462478,35.81949903,sound,2.772588722,3.091042453,3.688879454,2.564949357,0.693147181,1.791759469,0.693147181,0,0.693147181,1.791759469,0.693147181,0,0.314201619,1.083149375,0.853568801,0.80647535,0.579102281,0.248712288,0.468727005,0.727740986,0.228108904,0.437086093,0.570272259,0.089036056,-22.89042715,2.708050201,0.693147181,2.890371758,0,0.363262285,1,0.975916396,1,0.264368922,1,0.997667342,0.998726697,0.996607987
sr19-00093305,building violation,bba,,open,phone call,2019-01-21,01/21/2019 01:23:36 am,,5501 w addison st,NA,NA,60641,5501,w,addison,st,FALSE,FALSE,NA,,15,36,3,c014,3,16,1633,16,thursday,1138989.194,1923314.169,41.94570185,-87.7645375,"(41.94570184631844, -87.76453750025857)",185731,41.94579753,-87.76435673,0,-0.274723681,0.227996185,-0.51537522,-6.180500972,sound,4.304065093,1.791759469,0,1.098612289,0.693147181,0,0,1.386294361,0,0.693147181,0,0,1.167142559,0.613831047,0.733407619,0.302040532,0.560554356,0.20871927,0.268403092,0.536736542,0.154328296,0.477749147,0.436729577,0.013162476,-13.89042715,2.63905733,0,0,0,0.086201481,1,0.218354855,1,0.071863391,1,0.941959807,0.947327206,0.919179519
sr19-00093313,building violation,bba,,open,phone call,2019-01-21,01/21/2019 01:25:25 am,,6904 s cregier ave,NA,NA,60649,6904,s,cregier,ave,FALSE,FALSE,NA,,43,5,12,u038,3,3,332,28,monday,1189384.966,1859510.635,41.76955531,-87.58135645,"(41.76955530912528, -87.58135644677782)",564348,41.76954475,-87.58146121,1,0.347327578,0.039340789,0.48462478,-26.18050097,sound,0,0,0,0,0,0,0,1.791759469,0.693147181,0,0,0,0.229452055,1.484961286,1.128499107,0.702352591,0.709350804,0.402173913,0.535586659,0.745235259,0.432846933,0.254318046,0.355122096,0.171083979,6.109572851,1.386294361,0,0,0,0.083324797,1,0.14074789,1,0.105023068,1,0.9394132,0.927565041,0.95574804
sr19-00093341,building violation,bba,,open,internet,2019-01-21,01/21/2019 01:42:22 am,,848 n maplewood ave,NA,NA,60622,848,n,maplewood,ave,FALSE,FALSE,NA,,24,26,5,j020,1,12,1211,3,friday,1159146.726,1905782.383,41.89720237,-87.69092793,"(41.89720236962227, -87.69092793149723)",337185,41.89719452,-87.69092216,0,1.31541148,0.32274193,1.48462478,-15.18050097,needs minor repair,0,0,0,0,0,0,0,0,0,0.693147181,0,0,4.069444444,0.684064327,0.947880117,0.320833333,0.534868421,0.105409357,0.236695906,0.598903509,0.327923977,0.799122807,0.372076023,0.027266082,-38.89042715,0,0,0,0,0.020802342,0,0.012190253,0,0.022521826,0,0.61283689,0.677125201,0.676533209
sr19-00077500,building violation,bba,,open,phone call,2019-01-17,01/17/2019 01:24:56 am,,125 s austin blvd,NA,NA,60644,125,s,austin,blvd,FALSE,FALSE,NA,,25,29,6,b023,1,15,1513,19,tuesday,1136503.249,1898736.114,41.87830162,-87.77426396,"(41.87830162059759, -87.77426395809405)",361192,41.87823048,-87.77444287,1,0.516403908,0.100235621,0.48462478,-12.18050097,sound,0,0.693147181,0.693147181,0,0.693147181,0,0,0,1.098612289,0.693147181,0,0,0.291315906,0.830305716,0.749556934,0.490031015,0.603289765,0.423072663,0.392334958,0.970591493,0.283285335,0.446665928,0.294915817,0.117634027,24.10957285,2.48490665,0,0,0,0.143925365,1,0.449021141,1,0.151915563,1,0.97494106,0.976511398,0.980627304
sr19-00077600,building violation,bba,,open,phone call,2019-01-17,01/17/2019 01:58:06 am,,318 w 118th st,NA,NA,60628,318,w,118th,st,FALSE,FALSE,NA,,53,34,14,p050,2,5,522,14,tuesday,1176174.642,1826755.788,41.67997837,-87.63075907,"(41.679978369968254, -87.63075907133585)",790539,41.67985756,-87.63079249,1,-0.002478778,-0.097523767,0.48462478,-40.18050097,needs minor repair,0,0,0,0,0,0.693147181,0,0.693147181,0.693147181,0,0,0,0.112421053,0.913894737,0.599368421,0.547578947,0.636947368,0.462947368,0.462631579,0.605789474,0.226,0.168315789,0.132210526,0.174210526,13.10957285,0,0,0,0,0.043055794,1,0.025246882,1,0.040650208,1,0.860167212,0.828087449,0.848424988
sr19-00078149,building violation,bba,,open,phone call,2019-01-17,01/17/2019 05:16:08 am,,216 w 71st st,NA,NA,60621,216,w,71st,st,FALSE,FALSE,NA,,69,6,12,p038,3,7,731,47,tuesday,1175989.469,1857904.353,41.76545838,-87.63050602,"(41.76545838222854, -87.63050602324466)",573425,41.76545055,-87.63050028,1,0.000627779,1.689990723,-1.51537522,-15.18050097,unknown,0,1.386294361,0.693147181,1.791759469,0,0,0,0,1.098612289,0,0.693147181,0,0.105430867,1.162787476,0.853006373,0.632169576,0.604045442,0.37364921,0.35231366,0.751593239,0.38182322,0.338875035,0.298974785,0.221806595,17.10957285,2.397895273,0,0,0,0.232306327,1,0.64656667,1,0.206649008,1,0.991373527,0.987848575,0.992160773
sr19-00077769,building violation,bba,,open,internet,2019-01-17,01/17/2019 02:53:50 am,,8002 s coles ave,NA,NA,60617,8002,s,coles,ave,FALSE,FALSE,NA,,46,7,12,x041,2,4,422,22,friday,1198140.445,1852446.032,41.74995502,-87.54949944,"(41.749955023548615, -87.54949943937747)",615934,41.74994719,-87.54949373,0,-0.626508639,-0.052525661,-0.51537522,-14.18050097,sound,0.693147181,0.693147181,0,0,0,0,0,0,0,0,0,0,0.62284513,1.062368605,0.601121233,0.652838122,0.696706377,0.358934828,0.448633497,0.618640505,0.308339173,0.184583041,0.200280308,0.240504555,26.10957285,0,0,0,0,0.026423234,0,0.010286645,0,0.021398121,0,0.716819858,0.617203095,0.645056862
sr19-00077815,building violation,bba,,open,phone call,2019-01-17,01/17/2019 03:08:06 am,,5403 s paulina st,NA,NA,60609,5403,s,paulina,st,FALSE,FALSE,NA,,61,16,11,l034,3,9,932,12,wednesday,1165998.392,1868823.789,41.7956409,-87.66681628,"(41.7956408984803, -87.66681627652773)",479524,41.79563306,-87.66681052,0,0.015406373,-0.343098165,0.48462478,-30.18050097,needs major repair,0,0,0,0,0,0,0,1.609437912,0,0,0.693147181,0,1.742095328,0.797781973,0.722510618,0.449032563,0.469915054,0.175318546,0.266517225,0.643817839,0.230651251,0.521236432,0.263921661,0.204931571,42.10957285,0,0,0,0,0.028304323,1,0.014869436,0,0.025642651,1,0.742630732,0.732851431,0.725399595
sr19-00077903,building violation,bba,,open,phone call,2019-01-17,01/18/2019 03:39:07 am,,2842 n campbell ave,NA,NA,60618,2842,n,campbell,ave,FALSE,FALSE,NA,,21,33,4,j015,1,14,1411,5,tuesday,1159116.522,1918988.017,41.93344026,-87.69067542,"(41.93344026266027, -87.69067542307998)",236621,41.9334324,-87.69066965,0,0.224267486,-0.359296709,0.48462478,-38.18050097,sound,0,0,0,0,0,0,0,0,0,0.693147181,0,0,4.925636943,0.587579618,0.901751592,0.276910828,0.423726115,0.112101911,0.24888535,0.671974522,0.270541401,0.933917197,0.453343949,0.042197452,-6.890427149,0,0,0,0,0.01466315,0,0.00674057,0,0.017014845,0,0.396990185,0.392229319,0.518879369
sr19-00078161,building violation,bba,,open,internet,2019-01-17,01/17/2019 05:20:55 am,,9018 s houston ave,NA,NA,60617,9018,s,houston,ave,FALSE,FALSE,NA,,46,10,15,x043,2,4,424,34,thursday,1198015.155,1845641.575,41.73128621,-87.55018546,"(41.731286205622744, -87.55018545506628)",679090,41.73131375,-87.55004359,1,0.493931052,-0.333573723,1.48462478,-36.18050097,needs minor repair,0,2.197224577,0,0,0,0,0,1.386294361,0,0,0,0,0.62284513,1.062368605,0.601121233,0.652838122,0.696706377,0.358934828,0.448633497,0.618640505,0.308339173,0.184583041,0.200280308,0.240504555,26.10957285,0,0,0,0,0.03875881,1,0.018061476,1,0.035718022,1,0.837347458,0.776029496,0.827259698
sr19-00085195,building violation,bba,,open,phone call,2019-01-18,01/18/2019 05:08:02 pm,,7806 s essex ave,NA,NA,60649,7806,s,essex,ave,FALSE,FALSE,NA,,43,7,12,w040,2,4,421,16,friday,1194078.817,1853590.585,41.75319634,-87.56434521,"(41.75319633988523, -87.56434521350842)",872610,41.7531885,-87.5643395,0,0.247797983,1.532045862,-1.51537522,-10.18050097,unknown,0,0,0,0,0,0.693147181,0,0,0,0,0,0,0.229452055,1.484961286,1.128499107,0.702352591,0.709350804,0.402173913,0.535586659,0.745235259,0.432846933,0.254318046,0.355122096,0.171083979,6.109572851,0,0,0,0,0.047392178,1,0.026544544,1,0.038800078,1,0.877407696,0.833662564,0.841724048
sr19-00078200,building violation,bba,,open,internet,2019-01-17,01/17/2019 06:02:49 am,,5005 s drexel blvd,NA,NA,60615,5005,s,drexel,blvd,FALSE,FALSE,NA,,39,4,9,s033,2,2,222,33,tuesday,1183230.111,1871969.104,41.8038879,-87.60352947,"(41.80388789736097, -87.60352946564231)",864952,41.80388005,-87.60352373,1,0.496579059,1.560890896,-1.51537522,-27.18050097,unknown,0.693147181,0,0.693147181,0,0,0,0,0,0,1.098612289,0,0.693147181,0.314201619,1.083149375,0.853568801,0.80647535,0.579102281,0.248712288,0.468727005,0.727740986,0.228108904,0.437086093,0.570272259,0.089036056,-22.89042715,2.995732274,0,0,0,0.185765433,1,0.536324848,1,0.133319255,1,0.985333126,0.98237524,0.97321078
sr19-00078266,building violation,bba,,open,phone call,2019-01-17,01/23/2019 09:31:13 pm,,1136 w 87th st,NA,NA,60620,1136,w,87th,st,FALSE,FALSE,NA,,71,21,13,n042,1,6,613,6,tuesday,1170100.416,1847116.192,41.73598424,-87.65240417,"(41.73598424182947, -87.65240417030971)",838787,41.73605886,-87.65242489,1,-0.255305595,0.586873601,-1.51537522,-3.180500972,unknown,0,0,0,0,0,0,0,0,0,0,0,0,0.110977288,1.093943565,0.77279766,0.532518926,0.596180317,0.344459738,0.410099794,0.84901927,0.345320028,0.400550585,0.233052306,0.155282175,25.10957285,0,0,0,0,0.030214082,1,0.014793875,0,0.031302752,1,0.765246923,0.731611362,0.795553825
sr19-00078287,building violation,bba,,completed,phone call,2019-01-17,01/17/2019 01:17:09 pm,01/17/2019 01:17:07 pm,1430 n dearborn pkwy,NA,NA,60610,1430,n,dearborn,pkwy,FALSE,FALSE,NA,,8,2,5,p019,2,18,1824,31,wednesday,1175653.203,1910108.807,41.90871913,-87.63017213,"(41.908719130146736, -87.63017212608766)",309975,41.90871127,-87.63016637,0,0.873948844,0.824223401,2.48462478,6.819499028,sound,0,0,0.693147181,0,1.386294361,0,0,0,0,0.693147181,0,0,3.571380697,1.386729223,3.095844504,0.782171582,0.432975871,0.059316354,0.161193029,0.293230563,0.422922252,1.201407507,0.292225201,0.014075067,-47.89042715,0,0,2.397895273,0,0.027355532,1,0.073377094,1,0.03011712,1,0.730101262,0.898025653,0.785127486
sr19-00077174,building violation,bba,,completed,phone call,2019-01-16,01/17/2019 02:38:00 pm,01/17/2019 02:37:58 pm,2018 e 72nd pl,NA,NA,60649,2018,e,72nd,pl,FALSE,FALSE,NA,,43,5,12,v039,3,3,333,6,friday,1191008.342,1857378.733,41.7636661,-87.57547484,"(41.763666096595365, -87.57547483608208)",577701,41.76354354,-87.57545633,0,0.247797983,0.635084039,1.48462478,-6.180500972,needs minor repair,1.098612289,2.197224577,0,1.098612289,1.098612289,0,0.693147181,0,0,0,0,0,0.229452055,1.484961286,1.128499107,0.702352591,0.709350804,0.402173913,0.535586659,0.745235259,0.432846933,0.254318046,0.355122096,0.171083979,6.109572851,2.890371758,0,0,0,0.204967097,1,0.584378994,1,0.196837302,1,0.988247391,0.985036091,0.990883315
sr19-00078419,building violation,bba,,open,phone call,2019-01-17,01/17/2019 12:18:39 pm,,6417 s morgan st,NA,NA,60621,6417,s,morgan,st,FALSE,FALSE,NA,,68,16,11,n037,2,7,723,28,friday,1170837.394,1862180.003,41.77730526,-87.64926532,"(41.7773052587305, -87.64926531913116)",539029,41.77729742,-87.64925957,0,0.809073522,0.35193759,0.48462478,-2.180500972,needs minor repair,0,0,0,0,0,0,0,0.693147181,0,0,0,0,0.208854088,1.055865081,0.55609095,0.594338202,0.437735281,0.306128595,0.264418009,0.687547056,0.373136576,0.588164433,0.159162777,0.404908899,45.10957285,1.945910149,0,0,0,0.114395311,1,0.236691072,1,0.119655378,1,0.961867373,0.950995482,0.966094407
sr19-00078480,building violation,bba,,completed,phone call,2019-01-17,01/17/2019 01:17:42 pm,01/17/2019 01:17:39 pm,1143 n lawler st,NA,NA,60651,1143,n,lawler,st,FALSE,FALSE,NA,,25,37,6,d020,3,15,1531,33,tuesday,1142493.293,1907321.149,41.90175081,-87.75205599,"(41.901750810420936, -87.75205599168164)",867865,41.90174296,-87.7520502,0,0.082767923,0.75312943,1.48462478,1.819499028,needs minor repair,0,0,0,0,0,0,0,0,0,0,0,0,0.291315906,0.830305716,0.749556934,0.490031015,0.603289765,0.423072663,0.392334958,0.970591493,0.283285335,0.446665928,0.294915817,0.117634027,24.10957285,3.912023005,0,0,0,0.234635856,1,0.754304576,1,0.221333785,1,0.991597861,0.99200914,0.993675027
sr19-00078501,building violation,bba,,completed,phone call,2019-01-17,01/17/2019 02:37:58 pm,01/17/2019 02:37:58 pm,2018 e 72nd pl,NA,NA,60649,2018,e,72nd,pl,TRUE,FALSE,NA,sr19-00077174,43,5,12,v039,3,3,333,6,friday,1191008.342,1857378.733,41.7636661,-87.57547484,"(41.763666096595365, -87.57547483608208)",577701,41.76354354,-87.57545633,0,0.247797983,0.635084039,1.48462478,-6.180500972,needs minor repair,1.098612289,2.197224577,0,1.098612289,1.098612289,0,0.693147181,0,0,0,0,0,0.229452055,1.484961286,1.128499107,0.702352591,0.709350804,0.402173913,0.535586659,0.745235259,0.432846933,0.254318046,0.355122096,0.171083979,6.109572851,2.890371758,0,0,0,0.204967097,1,0.584378994,1,0.196837302,1,0.988247391,0.985036091,0.990883315
sr19-00067650,no building permit and construction violation,bbd,,completed,internet,2019-01-15,01/17/2019 01:12:52 pm,01/17/2019 01:12:50 pm,407 n elizabeth st,NA,NA,60642,407,n,elizabeth,st,FALSE,FALSE,NA,,24,27,5,m021,1,12,1215,33,friday,1167956.039,1902936.482,41.88920746,-87.65865484,"(41.88920745848697, -87.65865483761071)",350712,41.88915487,-87.65880522,0,3.0612087,2.365093803,1.48462478,-4.180500972,needs minor repair,3.401197382,2.564949357,1.609437912,0.693147181,0,0,0.693147181,0,0.693147181,0,1.386294361,0,4.069444444,0.684064327,0.947880117,0.320833333,0.534868421,0.105409357,0.236695906,0.598903509,0.327923977,0.799122807,0.372076023,0.027266082,-38.89042715,0,1.386294361,2.302585093,0,0.109943049,1,0.281944326,1,0.069457723,1,0.959424625,0.958770317,0.915566288
sr19-00068960,no building permit and construction violation,bbd,,completed,phone call,2019-01-15,01/17/2019 01:09:13 pm,01/17/2019 01:09:10 pm,2257 w hirsch st,NA,NA,60622,2257,w,hirsch,st,FALSE,FALSE,NA,,24,1,5,k019,2,14,1424,14,thursday,1160937.073,1909222.11,41.90660428,-87.68425664,"(41.90660427944522, -87.68425664179132)",315437,41.90659642,-87.68425087,0,0.717074604,0.156846165,0.48462478,-45.18050097,needs minor repair,1.386294361,0,0,0,1.791759469,0.693147181,0,0,0,0,0,0,4.069444444,0.684064327,0.947880117,0.320833333,0.534868421,0.105409357,0.236695906,0.598903509,0.327923977,0.799122807,0.372076023,0.027266082,-38.89042715,0,0,0,0,0.024185993,0,0.011371217,0,0.019006274,0,0.680461131,0.654286753,0.593259594
